,#,Population  (2023),Yearly  Change,Net  Change,Density  (P/Km²),Land Area  (Km²),Migrants  (net),Fert.  Rate,Med.  Age,Urban  Pop %,World  Share,Land Area (Km²),Density (P/Km²)
India,1,1428627663,0.81 %,11454490,481,2973190,-486136,2.0,28.0,36 %,17.76 %,,
China,2,1425671352,-0.02 %,-215985,152,9388211,-310220,1.2,39.0,65 %,17.72 %,,
US,3,339996563,0.50 %,1706706,37,9147420,999700,1.7,38.0,83 %,4.23 %,,
Indonesia,4,277534122,0.74 %,2032783,153,1811570,-49997,2.1,30.0,59 %,3.45 %,,
Pakistan,5,240485658,1.98 %,4660796,312,770880,-165988,3.3,21.0,35 %,2.99 %,,
Nigeria,6,223804632,2.41 %,5263420,246,910770,-59996,5.1,17.0,54 %,2.78 %,,
Brazil,7,216422446,0.52 %,1108948,26,8358140,6000,1.6,34.0,88 %,2.69 %,,
Bangladesh,8,172954319,1.03 %,1767947,1329,130170,-309977,1.9,27.0,41 %,2.15 %,,
Russia,9,144444359,-0.19 %,-268955,9,16376870,-136414,1.5,39.0,75 %,1.80 %,,
Mexico,10,128455567,0.75 %,951442,66,1943950,-50239,1.8,30.0,88 %,1.60 %,,
Ethiopia,11,126527060,2.55 %,3147136,127,1000000,-11999,4.0,19.0,22 %,1.57 %,,
Japan,12,123294513,-0.53 %,-657179,338,364555,99994,1.3,49.0,94 %,1.53 %,,
Philippines,13,117337368,1.54 %,1778359,394,298170,-69996,2.7,25.0,47 %,1.46 %,,
Egypt,14,112716598,1.56 %,1726495,113,995450,-29998,2.8,24.0,41 %,1.40 %,,
Congo (Kinshasa),15,102262808,3.29 %,3252596,45,2267050,-14999,6.1,16.0,46 %,1.27 %,,
Vietnam,16,98858950,0.68 %,672094,319,310070,-82700,1.9,33.0,40 %,1.23 %,,
Iran,17,89172767,0.70 %,622197,55,1628550,-39998,1.7,33.0,74 %,1.11 %,,
Turkey,18,85816199,0.56 %,474958,112,769630,-318067,1.9,32.0,77 %,1.07 %,,
Germany,19,83294633,-0.09 %,-75210,239,348560,155751,1.5,45.0,77 %,1.04 %,,
Thailand,20,71801279,0.15 %,104249,141,510890,18999,1.3,40.0,52 %,0.89 %,,
United Kingdom,21,67736802,0.34 %,227866,280,241930,165790,1.6,40.0,85 %,0.84 %,,
Tanzania,22,67438106,2.96 %,1940358,76,885800,-39997,4.6,17.0,38 %,0.84 %,,
France,23,64756584,0.20 %,129956,118,547557,67761,1.8,42.0,84 %,0.80 %,,
South Africa,24,60414495,0.87 %,520610,50,1213090,58496,2.3,28.0,69 %,0.75 %,,
Italy,25,58870762,-0.28 %,-166712,200,294140,58496,1.3,48.0,72 %,0.73 %,,
Kenya,26,55100586,1.99 %,1073099,97,569140,-10000,3.2,20.0,31 %,0.68 %,,
Myanmar,27,54577997,0.74 %,398691,84,653290,-34998,2.1,30.0,33 %,0.68 %,,
Colombia,28,52085168,0.41 %,211144,47,1109500,-175051,1.7,32.0,81 %,0.65 %,,
"Korea, South",29,51784059,-0.06 %,-31751,533,97230,29998,0.9,44.0,82 %,0.64 %,,
Uganda,30,48582334,2.82 %,1332749,243,199810,-126181,4.4,16.0,29 %,0.60 %,,
Sudan,31,48109006,2.63 %,1234802,27,1765048,-9999,4.3,19.0,35 %,0.60 %,,
Spain,32,47519628,-0.08 %,-39002,95,498800,39998,1.3,45.0,80 %,0.59 %,,
Argentina,33,45773884,0.58 %,263566,17,2736690,3718,1.9,32.0,94 %,0.57 %,,
Algeria,34,45606480,1.57 %,703255,19,2381740,-9999,2.8,28.0,75 %,0.57 %,,
Iraq,35,45504560,2.27 %,1008438,105,434320,-6000,3.4,20.0,71 %,0.57 %,,
Afghanistan,36,42239854,2.70 %,1111083,65,652860,-65846,4.4,17.0,26 %,0.53 %,,
Poland,37,41026067,2.93 %,1168922,134,306230,-910475,1.5,40.0,55 %,0.51 %,,
Canada,38,38781291,0.85 %,326964,4,9093510,249746,1.5,41.0,81 %,0.48 %,,
Morocco,39,37840044,1.02 %,382073,85,446300,-39998,2.3,29.0,66 %,0.47 %,,
Saudi Arabia,40,36947025,1.48 %,538205,17,2149690,28998,2.4,31.0,83 %,0.46 %,,
Ukraine,41,36744634,-7.45 %,-2957105,63,579320,1784718,1.3,45.0,82 %,0.46 %,,
Angola,42,36684202,3.08 %,1095215,29,1246700,-1000,5.1,16.0,68 %,0.46 %,,
Uzbekistan,43,35163944,1.55 %,536292,83,425400,-19999,2.8,27.0,49 %,0.44 %,,
Yemen,44,34449825,2.24 %,753211,65,527970,-29914,3.6,19.0,37 %,0.43 %,,
Peru,45,34352719,0.89 %,303131,27,1280000,-61442,2.1,29.0,79 %,0.43 %,,
Malaysia,46,34308525,1.09 %,370304,104,328550,48997,1.8,31.0,78 %,0.43 %,,
Ghana,47,34121985,1.93 %,646115,150,227540,-9999,3.5,21.0,57 %,0.42 %,,
Mozambique,48,33897354,2.81 %,927836,43,786380,-5000,4.5,17.0,40 %,0.42 %,,
Nepal,49,30896590,1.14 %,349010,216,143350,-62012,2.0,24.0,22 %,0.38 %,,
Madagascar,50,30325732,2.41 %,714018,52,581795,-1500,3.7,19.0,40 %,0.38 %,,
Côte d'Ivoire,51,28873034,2.53 %,712492,91,318000,6000,4.3,18.0,52 %,0.36 %,,
Venezuela,52,28838499,1.90 %,536803,33,882050,321106,2.2,28.0,N.A.,0.36 %,,
Cameroon,53,28647293,2.63 %,732757,61,472710,-4800,4.3,18.0,58 %,0.36 %,,
Niger,54,27202843,3.80 %,994866,21,1266700,1000,6.7,15.0,17 %,0.34 %,,
Australia,55,26439111,1.00 %,261698,3,7682300,139991,1.6,38.0,86 %,0.33 %,,
North Korea,56,26160821,0.35 %,91405,217,120410,-2000,1.8,36.0,63 %,0.33 %,,
Taiwan*,57,23923276,0.13 %,29882,676,35410,23999,1.2,42.0,80 %,0.30 %,,
Mali,58,23293698,3.10 %,700108,19,1220190,-39998,5.8,15.0,44 %,0.29 %,,
Burkina Faso,59,23251485,2.55 %,577723,85,273600,-24998,4.6,17.0,32 %,0.29 %,,
Syria,60,23227014,4.98 %,1101765,126,183630,757103,2.7,22.0,53 %,0.29 %,,
Sri Lanka,61,21893579,0.28 %,61436,349,62710,-77495,2.0,33.0,19 %,0.27 %,,
Malawi,62,20931751,2.58 %,526434,222,94280,-6000,3.8,17.0,19 %,0.26 %,,
Zambia,63,20569737,2.76 %,552062,28,743390,-5000,4.2,17.0,46 %,0.26 %,,
Romania,64,19892812,1.19 %,233545,86,230170,-254616,1.7,41.0,53 %,0.25 %,,
Chile,65,19629590,0.13 %,25857,26,743532,-71205,1.5,36.0,85 %,0.24 %,,
Kazakhstan,66,19606633,1.08 %,208635,7,2699700,0,3.0,30.0,57 %,0.24 %,,
Chad,67,18278568,3.13 %,555253,15,1259200,-2000,6.1,15.0,24 %,0.23 %,,
Ecuador,68,18190484,1.05 %,189484,73,248360,-21525,2.0,28.0,64 %,0.23 %,,
Somalia,69,18143378,3.10 %,545867,29,627340,-30000,6.1,15.0,46 %,0.23 %,,
Guatemala,70,18092026,1.39 %,248118,169,107160,-9110,2.3,23.0,55 %,0.22 %,,
Senegal,71,17763163,2.58 %,446714,92,192530,-19999,4.3,18.0,52 %,0.22 %,,
Netherlands,72,17618299,0.31 %,54285,522,33720,29998,1.6,42.0,92 %,0.22 %,,
Cambodia,73,16944826,1.06 %,176984,96,176520,-29998,2.3,27.0,26 %,0.21 %,,
Zimbabwe,74,16665409,2.11 %,344872,43,386850,-9999,3.4,18.0,37 %,0.21 %,,
Guinea,75,14190612,2.39 %,331271,58,245720,-4000,4.2,18.0,40 %,0.18 %,,
Rwanda,76,14094683,2.31 %,317985,571,24670,-8999,3.7,19.0,18 %,0.18 %,,
Benin,77,13712828,2.70 %,359964,122,112760,-200,4.8,18.0,48 %,0.17 %,,
Burundi,78,13238559,2.71 %,348983,516,25680,2000,4.9,16.0,15 %,0.16 %,,
Tunisia,79,12458223,0.83 %,102106,80,155360,-4000,2.0,32.0,69 %,0.15 %,,
Bolivia,80,12388571,1.35 %,164461,11,1083300,-3000,2.5,24.0,69 %,0.15 %,,
Haiti,81,11724763,1.21 %,139767,425,27560,-31811,2.7,23.0,60 %,0.15 %,,
Belgium,82,11686140,0.26 %,30210,386,30280,23999,1.6,41.0,99 %,0.15 %,,
Jordan,83,11337052,0.45 %,51183,128,88780,-157392,2.7,24.0,85 %,0.14 %,,
Dominican Republic,84,11332972,0.93 %,104151,235,48320,-29099,2.2,28.0,85 %,0.14 %,,
Cuba,85,11194449,-0.16 %,-17742,105,106440,-6000,1.5,41.0,80 %,0.14 %,,
South Sudan,86,11088796,1.61 %,175632,18,610952,-23291,4.3,17.0,28 %,0.14 %,,
Sweden,87,10612086,0.59 %,62739,26,410340,39998,1.7,40.0,86 %,0.13 %,,
Honduras,88,10593798,1.54 %,160938,95,111890,-5034,2.3,24.0,58 %,0.13 %,,
Czechia,89,10495295,0.01 %,1309,136,77240,22011,1.7,43.0,75 %,0.13 %,,
Azerbaijan,90,10412651,0.53 %,54577,126,82658,0,1.7,32.0,57 %,0.13 %,,
Greece,91,10341277,-0.42 %,-43694,80,128900,5000,1.4,45.0,86 %,0.13 %,,
Papua New Guinea,92,10329931,1.85 %,187312,23,452860,-800,3.1,22.0,12 %,0.13 %,,
Portugal,93,10247605,-0.23 %,-23260,112,91590,9999,1.4,46.0,67 %,0.13 %,,
Hungary,94,10156239,1.90 %,188931,112,90530,-156677,1.6,42.0,68 %,0.13 %,,
Tajikistan,95,10143543,1.92 %,190756,72,139960,-19999,3.1,22.0,28 %,0.13 %,,
United Arab Emirates,96,9516871,0.80 %,75742,114,83600,0,1.4,34.0,94 %,0.12 %,,
Belarus,97,9498238,-0.39 %,-36716,47,202910,-4282,1.5,41.0,80 %,0.12 %,,
Israel,98,9174520,1.51 %,136211,424,21640,9999,2.9,29.0,92 %,0.11 %,,
Togo,99,9053799,2.32 %,205100,166,54390,-2000,4.1,19.0,44 %,0.11 %,,
Austria,100,8958960,0.22 %,19343,109,82409,19999,1.5,43.0,59 %,0.11 %,,
Switzerland,101,8796669,0.64 %,56197,223,39516,39998,1.5,42.0,75 %,0.11 %,,
Sierra Leone,102,8791092,2.15 %,185374,122,72180,-4000,3.8,19.0,43 %,0.11 %,,
Laos,103,7633779,1.39 %,104304,33,230800,-9999,2.4,24.0,37 %,0.09 %,,
Hong Kong,104,7491609,0.04 %,2744,7135,1050,19999,0.8,46.0,N.A.,0.09 %,,
Serbia,105,7149077,-1.00 %,-72288,82,87460,-9999,1.5,43.0,69 %,0.09 %,,
Nicaragua,106,7046310,1.41 %,97918,59,120340,-8000,2.3,25.0,56 %,0.09 %,,
Libya,107,6888388,1.12 %,76047,4,1759540,-2000,2.4,27.0,82 %,0.09 %,,
Paraguay,108,6861524,1.19 %,80780,17,397300,-12499,2.4,26.0,67 %,0.09 %,,
Kyrgyzstan,109,6735347,1.58 %,104724,35,191800,-9999,2.9,24.0,37 %,0.08 %,,
Bulgaria,110,6687717,-1.39 %,-94236,62,108560,-4800,1.6,45.0,78 %,0.08 %,,
Turkmenistan,111,6516100,1.33 %,85330,14,469930,-4000,2.6,26.0,52 %,0.08 %,,
El Salvador,112,6364943,0.45 %,28551,307,20720,-23249,1.8,27.0,78 %,0.08 %,,
Congo (Brazzaville),113,6106869,2.29 %,136445,18,341500,-1000,4.0,18.0,70 %,0.08 %,,
Singapore,114,6014723,0.65 %,39034,8592,700,26998,1.0,43.0,N.A.,0.07 %,,
Denmark,115,5910913,0.49 %,28652,139,42430,19999,1.7,41.0,88 %,0.07 %,,
Slovakia,116,5795199,2.69 %,151746,121,48088,-112067,1.6,40.0,51 %,0.07 %,,
Central African Republic,117,5742315,2.92 %,163171,9,622980,-14716,5.8,15.0,40 %,0.07 %,,
Finland,118,5545475,0.09 %,4730,18,303890,13999,1.4,43.0,87 %,0.07 %,,
Norway,119,5474360,0.74 %,40041,15,365268,27998,1.5,40.0,86 %,0.07 %,,
Liberia,120,5418377,2.18 %,115696,56,96320,-5000,4.0,18.0,54 %,0.07 %,,
State of Palestine,121,5371230,2.31 %,121158,892,6020,-5000,3.4,20.0,83 %,0.07 %,,
Lebanon,122,5353930,-2.47 %,-135809,523,10230,-177331,2.1,29.0,97 %,0.07 %,,
New Zealand,123,5228100,0.83 %,42812,20,263310,12999,1.8,37.0,82 %,0.06 %,,
Costa Rica,124,5212173,0.60 %,31344,102,51060,3750,1.5,34.0,82 %,0.06 %,,
Ireland,125,5056935,0.67 %,33826,73,68890,9999,1.8,38.0,64 %,0.06 %,,
Mauritania,126,4862989,2.68 %,126850,5,1030700,3000,4.3,18.0,61 %,0.06 %,,
Oman,127,4644384,1.49 %,68086,15,309500,0,2.5,29.0,N.A.,0.06 %,,
Panama,128,4468087,1.35 %,59506,60,74340,7262,2.3,29.0,70 %,0.06 %,,
Kuwait,129,4310108,0.97 %,41235,242,17820,11999,2.1,40.0,N.A.,0.05 %,,
Croatia,130,4008617,-0.54 %,-21741,72,55960,-2000,1.4,44.0,59 %,0.05 %,,
Eritrea,131,3748901,1.76 %,64869,37,101000,-15297,3.7,19.0,67 %,0.05 %,,
Georgia,132,3728282,-0.43 %,-16103,54,69490,-9999,2.1,37.0,63 %,0.05 %,,
Mongolia,133,3447157,1.44 %,48791,2,1553560,-850,2.7,27.0,67 %,0.04 %,,
Moldova,134,3435931,4.98 %,162935,105,32850,-125204,1.8,35.0,50 %,0.04 %,,
Uruguay,135,3423108,0.01 %,314,20,175020,-1500,1.5,36.0,99 %,0.04 %,,
Puerto Rico,136,3260314,0.24 %,7907,368,8870,19835,1.3,44.0,N.A.,0.04 %,,
Bosnia and Herzegovina,137,3210847,-0.70 %,-22679,63,51000,-500,1.3,42.0,54 %,0.04 %,,
Albania,138,2832439,-0.35 %,-9882,103,27400,-8000,1.4,38.0,67 %,0.04 %,,
Jamaica,139,2825544,-0.06 %,-1833,261,10830,-10999,1.3,32.0,59 %,0.04 %,,
Armenia,140,2777970,-0.09 %,-2499,98,28470,-5000,1.6,35.0,67 %,0.03 %,,
Gambia,141,2773168,2.48 %,67176,274,10120,-3000,4.5,17.0,58 %,0.03 %,,
Lithuania,142,2718352,-1.15 %,-31703,43,62674,-13128,1.6,44.0,71 %,0.03 %,,
Qatar,143,2716391,0.79 %,21269,234,11610,0,1.8,34.0,N.A.,0.03 %,,
Botswana,144,2675352,1.71 %,45056,5,566730,3000,2.7,24.0,69 %,0.03 %,,
Namibia,145,2604172,1.45 %,37160,3,823290,-3916,3.2,21.0,60 %,0.03 %,,
Gabon,146,2436566,1.99 %,47574,9,257670,1000,3.4,22.0,85 %,0.03 %,,
Lesotho,147,2330318,1.06 %,24493,77,30360,-4000,2.9,22.0,31 %,0.03 %,,
Guinea-Bissau,148,2150842,2.15 %,45276,76,28120,-1400,3.8,19.0,45 %,0.03 %,,
Slovenia,149,2119675,-0.01 %,-169,105,20140,2000,1.6,44.0,55 %,0.03 %,,
North Macedonia,150,2085679,-0.38 %,-7920,83,25220,-1000,1.4,39.0,60 %,0.03 %,,
Latvia,151,1830211,-1.10 %,-20440,29,62200,-7630,1.6,44.0,69 %,0.02 %,,
Equatorial Guinea,152,1714671,2.37 %,39763,61,28050,4000,4.1,21.0,67 %,0.02 %,,
Trinidad and Tobago,153,1534937,0.25 %,3893,299,5130,-800,1.6,36.0,48 %,0.02 %,,
Bahrain,154,1485509,0.90 %,13276,1955,760,0,1.8,34.0,N.A.,0.02 %,,
Timor-Leste,155,1360596,1.44 %,19300,91,14870,-5000,3.0,21.0,35 %,0.02 %,,
Estonia,156,1322765,-0.25 %,-3297,31,42390,-1000,1.7,42.0,68 %,0.02 %,,
Mauritius,157,1300557,0.08 %,1088,641,2030,0,1.4,37.0,40 %,0.02 %,,
Cyprus,158,1260138,0.69 %,8650,136,9240,5000,1.3,39.0,65 %,0.02 %,,
Eswatini,159,1210822,0.76 %,9152,70,17200,-5268,2.8,22.0,31 %,0.02 %,,
Djibouti,160,1136455,1.39 %,15606,49,23180,900,2.7,24.0,72 %,0.01 %,,
Réunion,161,981796,0.80 %,7744,393,2500,-630,2.2,34.0,93 %,0.01 %,,
Fiji,162,936375,0.71 %,6609,51,18270,-3289,2.4,27.0,59 %,0.01 %,,
Comoros,163,852075,1.83 %,15301,458,1861,-2000,3.8,20.0,33 %,0.01 %,,
Guyana,164,813834,0.63 %,5108,4,196850,-3900,2.3,26.0,27 %,0.01 %,,
Bhutan,165,787424,0.64 %,4969,21,38117,300,1.4,29.0,49 %,0.01 %,,
Solomon Islands,166,740424,2.23 %,16151,26,27990,-1600,3.9,19.0,24 %,0.01 %,,
Macao,167,704149,1.29 %,8981,23472,30,5000,1.1,39.0,97 %,0.01 %,,
Luxembourg,168,654768,1.11 %,7169,253,2590,4883,1.4,39.0,88 %,0.01 %,,
Montenegro,169,626485,-0.10 %,-597,47,13450,-480,1.7,39.0,69 %,0.01 %,,
Suriname,170,623236,0.84 %,5196,4,156000,-1000,2.3,28.0,63 %,0.01 %,,
Cabo Verde,171,598682,0.93 %,5533,149,4030,-1227,1.9,27.0,67 %,0.01 %,,
Western Sahara,172,587259,1.96 %,11273,2,266000,5600,2.2,32.0,95 %,0.01 %,,
Micronesia,173,544321,0.98 %,5308,778,700,-1642,2.7,26.0,71 %,0.01 %,,
Malta,174,535064,0.33 %,1778,1672,320,850,1.2,40.0,78 %,0.01 %,,
Maldives,175,521021,-0.53 %,-2766,1737,300,-8652,1.7,32.0,39 %,0.01 %,,
Brunei,176,452524,0.78 %,3522,86,5270,0,1.7,33.0,80 %,0.01 %,,
Bahamas,177,412623,0.64 %,2639,41,10010,1000,1.4,33.0,85 %,0.01 %,,
Belize,178,410825,1.37 %,5553,18,22810,600,2.0,26.0,48 %,0.01 %,,
Guadeloupe,179,395839,0.02 %,87,234,1690,-800,2.0,42.0,N.A.,0.00 %,,
Iceland,180,375318,0.65 %,2419,4,100250,380,1.7,36.0,88 %,0.00 %,,
Martinique,181,366981,-0.14 %,-526,346,1060,-650,1.9,47.0,94 %,0.00 %,,
Mayotte,182,335995,3.03 %,9894,896,375,0,4.3,17.0,40 %,0.00 %,,
Vanuatu,183,334506,2.38 %,7766,27,12190,0,3.7,20.0,24 %,0.00 %,,
French Guiana,184,312155,2.49 %,7598,4,82200,1200,3.4,24.0,90 %,0.00 %,,
French Polynesia,185,308872,0.85 %,2593,84,3660,-100,1.7,34.0,59 %,0.00 %,,
New Caledonia,186,292991,1.05 %,3041,16,18280,500,2.0,34.0,74 %,0.00 %,,
Barbados,187,281995,0.13 %,360,656,430,-80,1.6,40.0,32 %,0.00 %,,
Sao Tome & Principe,188,231856,1.97 %,4476,242,960,-600,3.7,19.0,77 %,0.00 %,,
Samoa,189,225681,1.48 %,3299,80,2830,-1500,3.8,21.0,16 %,0.00 %,,
Curaçao,190,192077,0.48 %,914,433,444,515,1.6,36.0,77 %,0.00 %,,
Saint Lucia,191,180251,0.22 %,394,295,610,0,1.4,34.0,19 %,0.00 %,,
Guam,192,172952,0.69 %,1178,320,540,-500,2.5,30.0,95 %,0.00 %,,
Kiribati,193,133515,1.74 %,2283,165,810,-400,3.2,22.0,56 %,0.00 %,,
Grenada,194,126183,0.59 %,745,371,340,-200,2.0,32.0,32 %,0.00 %,,
Tonga,195,107773,0.86 %,915,150,720,-800,3.2,22.0,24 %,0.00 %,,
Seychelles,196,107660,0.51 %,542,234,460,-200,2.3,33.0,53 %,0.00 %,,
Aruba,197,106277,-0.16 %,-168,590,180,157,1.2,42.0,45 %,0.00 %,,
St. Vincent & Grenadines,198,103698,-0.24 %,-250,266,390,-200,1.8,33.0,58 %,0.00 %,,
U.S. Virgin Islands,199,98750,-0.72 %,-715,282,350,-450,2.1,43.0,N.A.,0.00 %,,
Antigua and Barbuda,200,94298,0.57 %,535,214,440,0,1.6,36.0,28 %,0.00 %,,
Isle of Man,201,84710,0.23 %,191,149,570,340,1.6,46.0,55 %,0.00 %,,
Andorra,202,80088,0.33 %,264,170,470,200,1.1,43.0,85 %,0.00 %,,
Dominica,203,73040,0.42 %,303,97,750,-40,1.6,32.0,75 %,0.00 %,,
Cayman Islands,204,69310,0.88 %,604,289,240,400,1.2,38.0,95 %,0.00 %,,
Bermuda,205,64069,-0.18 %,-115,1281,50,0,1.4,46.0,94 %,0.00 %,,
Greenland,206,56643,0.31 %,177,0,410450,-100,1.9,35.0,89 %,0.00 %,,
Faeroe Islands,207,53270,0.34 %,180,38,1396,0,2.7,38.0,41 %,0.00 %,,
Northern Mariana Islands,208,49796,0.49 %,245,108,460,-50,2.1,38.0,N.A.,0.00 %,,
Saint Kitts & Nevis,209,47755,0.21 %,98,184,260,20,1.5,35.0,38 %,0.00 %,,
Turks and Caicos,210,46062,0.79 %,359,48,950,200,1.6,38.0,79 %,0.00 %,,
Sint Maarten,211,44222,0.11 %,47,1301,34,0,1.6,48.0,97 %,0.00 %,,
American Samoa,212,43914,-0.81 %,-359,220,200,-790,2.2,29.0,N.A.,0.00 %,,
Marshall Islands,213,41996,1.03 %,427,233,180,0,2.6,26.0,N.A.,0.00 %,,
Liechtenstein,214,39584,0.65 %,257,247,160,150,1.5,44.0,15 %,0.00 %,,
Monaco,215,36297,-0.47 %,-172,24360,1,200,2.1,54.0,N.A.,0.00 %,,
San Marino,216,33642,-0.05 %,-18,561,60,100,1.1,47.0,99 %,0.00 %,,
Gibraltar,217,32688,0.12 %,39,3269,10,-24,1.8,42.0,N.A.,0.00 %,,
Saint Martin,218,32077,0.90 %,286,605,53,0,2.4,39.0,0 %,0.00 %,,
British Virgin Islands,219,31538,0.74 %,233,210,150,200,1.0,39.0,53 %,0.00 %,,
Caribbean Netherlands,220,27148,0.45 %,122,83,328,100,1.6,40.0,74 %,0.00 %,,
Palau,221,18058,0.02 %,3,39,460,-20,2.3,36.0,N.A.,0.00 %,,
Cook Islands,222,17044,0.19 %,33,71,240,-93,2.2,33.0,79 %,0.00 %,,
Anguilla,223,15899,0.26 %,42,177,90,0,1.3,38.0,98 %,0.00 %,,
Nauru,224,12780,0.88 %,112,639,20,-140,3.4,20.0,88 %,0.00 %,,
Wallis & Futuna,225,11502,-0.60 %,-70,82,140,-119,1.9,37.0,0 %,0.00 %,,
Tuvalu,226,11396,0.74 %,84,380,30,-60,3.1,25.0,69 %,0.00 %,,
Saint Barthelemy,227,10994,0.25 %,27,524,21,0,1.0,40.0,0 %,0.00 %,,
Saint Pierre & Miquelon,228,5840,-0.38 %,-22,25,230,0,1.6,44.0,N.A.,0.00 %,,
Saint Helena,229,5314,-1.12 %,-60,14,390,0,1.6,53.0,32 %,0.00 %,,
Montserrat,230,4386,-0.09 %,-4,44,100,0,1.6,44.0,11 %,0.00 %,,
Falkland Islands,231,3791,0.29 %,11,0,12170,0,1.6,40.0,62 %,0.00 %,,
Niue,232,1935,0.05 %,1,7,260,0,2.4,36.0,41 %,0.00 %,,
Tokelau,233,1893,1.18 %,22,189,10,0,2.6,27.0,0 %,0.00 %,,
Holy See,234,518,1.57 %,8,1295,0,0,,,N.A.,0.00 %,0.44,1177.2727272727273
